,accuracy,precision_weighted,recall_weighted,f1_weighted
DecisionTree,0.7235,0.7265627670719782,0.7235,0.7239179204995063
KNN,0.6142,0.6103123669201136,0.6142,0.6111129375819578
RandomForest,0.7879,0.791590428859035,0.7879,0.7874799035093656
MLP_Torch,0.6995,0.6998316502264302,0.6995,0.6972891374153545
